الملف (قبل النقل)	السطر	قبل	بعد	السبب	المرات
الملاحق/ملحق-ز-أدوات-التقويم.md	1	# ملحق ز: أدوات التقويم⏎⏎## مقدمة: كيف تستعمل هذا الملحق	# أدوات التقويم⏎⏎## مقدمة: كيف تستعمل هذه الأدوات	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-ز-أدوات-التقويم.md	5	جمعنا في هذا الملحق كل أداة	جمعنا هنا كل أداة	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-ز-أدوات-التقويم.md	5	في فصول الكتاب باسم	في فصول السلسلة باسم	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-ز-أدوات-التقويم.md	5	في أول الكتاب (انظر الباب الأول، الفصل الأول)	في أول السلسلة (انظر المجلد الأول، الباب الأول، الفصل الأول)	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-ز-أدوات-التقويم.md	7	كل أداة في هذا الملحق من إنشاء الكتاب	كل أداة هنا من إنشاء الكتاب	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-ز-أدوات-التقويم.md	9	كل استمارة في هذا الملحق فيها	كل استمارة هنا فيها	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-ز-أدوات-التقويم.md	62	| أقل من ٤٠ | المستوى ٠ بمسار كامل |⏎| ٤٠–٥٩ | المستوى ٠ ثم ١ و٢ مكثفين |⏎| ٦٠–٧٤ | المستوى ٣ مع علاج فردي لنقاط الضعف في ١ و٢ |⏎| ٧٥–٨٤ | المستوى ٤ |⏎| ٨٥ فأعلى | المسارات التخصصية (٧–١٢) مباشرة |	| أقل من ٤٠ | المستوى ١ بمسار كامل |⏎| ٤٠–٥٩ | المستوى ١ ثم ٢ و٣ مكثفين |⏎| ٦٠–٧٤ | المستوى ٤ مع علاج فردي لنقاط الضعف في ٢ و٣ |⏎| ٧٥–٨٤ | المستوى ٥ |⏎| ٨٥ فأعلى | المسارات التخصصية (٨–١٣) مباشرة |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم.md	122	تُستعمل من المستوى ٧ فما فوق	تُستعمل من المستوى ٨ فما فوق	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	1	*(تتمة ملحق ز: أدوات التقويم. راجع الملف الأول لاختبار تحديد المستوى واستمارة سلّم المئة درجة. هذا الملف يتضمن:	*(تتمة أدوات التقويم. راجع القسم الأول لاختبار تحديد المستوى واستمارة سلّم المئة درجة. هذا القسم يتضمن:	كتاب مرافق: البنية الجديدة؛ ولا لغة ملفات في النص	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	80	«وقفة الثواني العشر» التي تعلمتها في الباب الأول:	«وقفة الثواني العشر» التي تعلمتها في المجلد الأول، الباب الأول:	الإحالة إلى مجلدٍ آخر يُذكر فيها المجلد	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	93	| التأسيس | ٠–٣ |	| التأسيس | ١–٤ |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	94	| التواصل | ٤–٦ |	| التواصل | ٥–٧ |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	95	| المنصات | ٧–٩ |	| المنصات | ٨–١٠ |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	96	| التمكين | ١٠–١٢ |	| التمكين | ١١–١٣ |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	128	| ٠ | الأسس | | | | |⏎| ١ | اللسان | | | | |⏎| ٢ | العبارة | | | | |⏎| ٣ | البيان | | | | |⏎| ٤ | المقام | | | | |⏎| ٥ | الأدب | | | | |⏎| ٦ | الحوار | | | | |⏎| ٧ | المجالس | | | | |⏎| ٨ | المنبر والمنصة | | | | |⏎| ٩ | المؤسسة | | | | |⏎| ١٠ | الإعلام | | | | |⏎| ١١ | الدبلوماسية | | | | |⏎| ١٢ | الملكة | | | | |	| ١ | الأسس | | | | |⏎| ٢ | اللسان | | | | |⏎| ٣ | العبارة | | | | |⏎| ٤ | البيان | | | | |⏎| ٥ | المقام | | | | |⏎| ٦ | الأدب | | | | |⏎| ٧ | الحوار | | | | |⏎| ٨ | المجالس | | | | |⏎| ٩ | المنبر والمنصة | | | | |⏎| ١٠ | المؤسسة | | | | |⏎| ١١ | الإعلام | | | | |⏎| ١٢ | الدبلوماسية | | | | |⏎| ١٣ | الملكة | | | | |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	147	| نهاية المرحلة الأولى (م٣) |	| نهاية المرحلة الأولى (م٤) |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-ز-أدوات-التقويم-٢.md	148	| نهاية المرحلة الثانية (م٦) |	| نهاية المرحلة الثانية (م٧) |	المستويات ١–١٣ (رقم المستوى رقم الباب)	1
الملاحق/ملحق-د-نصوص-الحلقات.md	1	# ملحق د: نصوص الحلقات⏎⏎## عن هذا الملحق	# سكريبتات الحلقات⏎⏎## عن هذا الكتاب المرافق	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-د-نصوص-الحلقات.md	5	يرافق هذا الكتاب برنامج تدريبي	يرافق هذه السلسلة برنامج تدريبي	كتاب مرافق: البنية الجديدة	1
الملاحق/ملحق-د-نصوص-الحلقات.md	5	هذا الملحق سكريبت (نص) تلك الحلقات: خمس حلقات رائدة كاملة الجاهزية للتصوير أو التسجيل، ثم أربع عشرة حلقة موجزة، حلقة لكل باب من أبواب الكتاب.	وهذا الكتاب المرافق سكريبت (نص) تلك الحلقات: خمس حلقات رائدة كاملة الجاهزية للتصوير أو التسجيل، ثم أربع عشرة حلقة موجزة: حلقة لكل باب من أبواب السلسلة الثلاثة عشر، وحلقة لبنك الأخطاء.	كتاب مرافق: البنية الجديدة؛ بنك الأخطاء مرجعٌ خارج ترقيم الأبواب، والملكة الباب ١٣	1
