البوابة	الفحص	الحكم	التفصيل
العلمية	كل حديثٍ منسوبٍ له تخريجٌ في حاشية	يجتاز	
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	يجتاز	٠ وسمًا: 
العلمية	مصادر في المجلد السابع: الحوار تنتظر التحقيق (لم تدخل الثبت)	يجتاز	لا شيء
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٢٣ موضعًا، ٢٣ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	يجتاز	
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب السابع، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل السابع: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
التقنية	لا أثر للمقاسين الملغيين (٢٠×٢٦ و١٥×٢١)	يجتاز	
التقنية	لا وسم مؤقت على الصفحات (TODO، placeholder، «نص مؤقت»…)	يجتاز	
النشر	الغلاف مبنيٌّ على عدد صفحات هذه النسخة (عرض الكعب)	يجتاز	٤٠١ صفحة
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٥ صفحة: د، ح، ي، ع، ٣٨٤
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا عمود انهار إلى كلمةٍ في السطر	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	١١٦، ٣٣٤، ٣٧١
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
